"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Direktav.";"P/E";"P/S";"P/B";"Omsättning";"Bruttoresult.";"EBIT";"EBITDA";"Vinst";"FCF";"Antal Aktier";"Tot. Skulder";"Kassa";"Kortf. Skuld."
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  1 år";"Senaste";"Senaste";"Senaste";"Senaste";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Senaste";"Miljoner";"Miljoner";"Miljoner"
"24SevenOffice";"Sverige";"Aktietorget";"Informationsteknik";"Programvara & Internet";247;"Aktier";"Q1-2018";"";"";-2415.385;16.55377;13.04793;20.239;10.158;-0.298;-0.264;-0.143;-3.306;53.349;53.49;38.512;48.892
"2cureX";"Sverige";"First North";"Hälsovård";"Läkemedel";"2CUREX";"Aktier";"Q1-2018";"";"";-14.55098;17.64821;3.748251;5.0553;4.1543;-7.2453;-6.8528;-6.132;9.4464;10.35;21.2171;42.0247;21.2171
"A.P. Moller Maersk B";"Denmark";"Large Cap";"Industri";"Handel & Distribution";"MAERSK B";"Aktier";"Q1-2018";-0.411465;0.01803752;21.1171;0.8867035;0.8203136;194961.5;15501.09;-436.62;16210.01;8186.4;-23321.44;20.788;171880.5;55213.62;63698.83
"A1M Pharma";"Sverige";"First North";"Hälsovård";"Sjukvård";"A1M";"Aktier";"Q1-2018";-0.6702128;"";-0.4794546;"";1.436269;"";-54.142;-66.397;-63.528;-67.058;-72.38;8.297;21.724;4.33;21.724
"A3 Allmänna IT- och Telekom";"Sverige";"Small Cap";"Telekommunikation";"Telekommunikationstjänster";"ATRE";"Aktier";"Q1-2018";-0.2146893;0.08992805;62.55626;0.5331687;1.878021;856.6;254.334;10.079;64.53;7.302;48.593;32.857;270.737;18.435;198.384
"AaB";"Denmark";"Small Cap";"Sällanköpsvaror";"Hotell, restaurang & nöje";"AAB";"Aktier";"Q4-2017";-0.4133065;"";3.800653;0.7668672;0.4316627;63.238;42.859;12.605;15.006;12.761;-20.185;0.3333;27.651;64.845;27.651
"AarhusKarlshamn";"Sverige";"Large Cap";"Dagligvaror";"Livsmedel";"AAK";"Aktier";"Q2-2018";0.3476619;0.01174472;27.57768;1.306554;4.104502;26869;6632;1860;2382;1273;566;253.728;10120;872;5579
"ABB";"Sverige";"Large Cap";"Industri";"Produktion";"ABB";"Aktier";"Q1-2018";-0.01878617;0.03381934;25.31127;1.489806;3.856812;292327;88340.34;27498.05;36856;17206.21;1737.31;2138;249738.8;41323.86;163306
"Absolent";"Sverige";"First North";"Industri";"Byggprodukter";"ABSO";"Aktier";"Q1-2018";0.5372233;0.005235602;30.7727;4.146759;7.21475;521.446;241.76;93.036;101.374;70.268;33.794;11.321;121.359;107.955;112.132
"Absolicon";"Sverige";"Aktietorget";"Kraftförsörjning";"Energiproducenter";"ABSL";"Aktier";"Q1-2018";-0.3281938;"";-76.57545;5.102342;5.282039;35.567;17.296;-3.425;-2.343;-2.37;-10.674;1.19;8.67;19.339;8.374
"AcadeMedia";"Sverige";"Mid Cap";"Sällanköpsvaror";"Konsument";"ACAD";"Aktier";"Q3-2018";-0.1155173;"";11.37901;0.5171713;1.282659;10429;7291;665;904;474;-120;105.138;4964;534;2595
"Acando";"Sverige";"Mid Cap";"Informationsteknik";"IT-Tjänster";"ACAN B";"Aktier";"Q1-2018";0.1584508;0.04255319;18.55926;1.3508;2.643052;2528;1123;244;264;184;71;103.794;756;44;683
"Acarix";"Sverige";"First North";"Hälsovård";"Sjukvård";"ACARIX";"Aktier";"Q1-2018";-0.7180001;"";-3.792361;149.6224;1.061421;0.868;0.588;-34.821;-30.501;-34.247;-34.686;23.027;4.473;94.256;4.473
"Acconeer";"Sverige";"First North";"Informationsteknik";"Elektronisk utrustning";"ACCON";"Aktier";"Q1-2018";"";"";-16.09028;31.79172;1.948672;13.228;12.921;-26.007;-23.917;-26.138;-104.924;19.029;6.413;173.211;4.279
"Acosense";"Sverige";"Aktietorget";"Industri";"Tjänster & Leverans";"ACOS";"Aktier";"Q1-2018";-0.3283582;"";-2.655807;4.886657;6.063499;3.957;"";-7.154;-5.728;-7.281;-4.315;4.297;6.735;6.107;5.005
"AcouSort";"Sverige";"Aktietorget";"Hälsovård";"Bioteknik";"ACOU";"Aktier";"Q1-2018";-0.2686957;"";-8.456511;29.26166;38.99748;2.159;-0.551;-7.471;-7.459;-7.471;-8.799;7.512;1.495;1.15;1.495
"Actic Group";"Sverige";"Small Cap";"Sällanköpsvaror";"Konsument";"ATIC";"Aktier";"Q1-2018";-0.09936577;0.01173709;108.0944;0.7286189;1.082526;929.388;709.186;38.848;127.551;6.266;-66.656;15.896;784.578;77.168;285.46
